,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,603,622,640,1382,1939,1084,1412,1298
org.joinmastodon.android,3,2,1,19,262,107,188,48
com.mewe,17,24,8,17,16,7,23,19
org.hiveinc.TheHive.android,0,0,0,0,0,0,1054,560
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,4,18,10,10,6,9,17,10
counter.social.android,1,0,0,5,18,1,4,3
com.minds.mobile,1,1,1,3,4,0,1,1
com.truthsocial.android.app,34,498,80,74,58,63,64,46
com.vkontakte.android,30,28,34,23,26,19,24,19
